course_name,race_name,off_time,horse_name,win_ppwap,rank
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,Absolutely Doyen (IRE),1.25,3
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,NO NAME,1.25,3
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,Night Stalker (GB),5.2,5
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,NO NAME,5.2,5
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,NO NAME,23,7
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,Aceofadiamond (IRE),23,7
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Paws For Thought (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Beauty Choice (GB),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Spring Bloom (GB),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Zarzyni (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Lipsink (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Alligator Alley (GB),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Hurt You Never (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Monsieur Kodi (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Bosh (IRE),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Ancient Times (USA),3.1,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,NO NAME,3.1,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Lazzat (FR),5.4,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,5.4,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Montassib (GB),7.6,3
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,7.6,3
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,8,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Kind Of Blue (GB),8,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Big Mojo (IRE),10,7
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,10,7
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,13,9
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Rayevka (IRE),13,9
