course_name,race,time,horse_name,price,trainer,rank
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,D H Kelly,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,J P O'Brien,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Starting Fifteen (GB),2.00,E McNamara,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Glin Road Boy (IRE),2.00,E M O'Sullivan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Maharajjah (IRE),2.00,L Young,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Certamen (IRE),2.00,E Buckley,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Brosna Town (IRE),2.00,D K Weld,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Call Tadgh (IRE),2.00,S Ryan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Louiescall (IRE),2.00,D H Kelly,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Royal Approval (USA),2.00,G Elliott,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2.00,P J Rothwell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2.00,H De Bromhead,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,J C McConnell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Flash The Badge (IRE),2.00,J C McConnell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Whoswhointhezoo (IRE),2.00,P Nolan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.30,W Durkan,31
Limerick,Limerick Show Maiden Hurdle,12:45:00,Touch The Moon (IRE),2.30,W Durkan,31
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,Vesalius (IRE),1.15,F Brennan,1
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,,1.15,F Brennan,1
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,Absolutely Doyen (IRE),1.25,P F Nicholls,3
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,,1.25,P F Nicholls,3
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,,5.20,Miss S West,5
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,Night Stalker (GB),5.20,Miss S West,5
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,,23.00,Ella Pickard,7
Stratford,Diesel Technic 10 Year Anniversary 'National ,12:50:00,Aceofadiamond (IRE),23.00,Ella Pickard,7
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,M Dods,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Paws For Thought (IRE),3.10,D McCain Jnr,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Beauty Choice (GB),3.10,M & D Easterby,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Spring Bloom (GB),3.10,Darryll Holland,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Zarzyni (IRE),3.10,T D Barron,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Lipsink (IRE),3.10,M Appleby,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Alligator Alley (GB),3.10,Mrs R Carr,1
